2025-09-25 23:03:46 | Exception: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: genres.name | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 35
2025-09-25 23:04:05 | Exception: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: genres.name | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 35
2025-09-25 23:08:32 | Exception: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'thm32' for key 'name' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-25 23:09:44 | Exception: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'thm32' for key 'name' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-25 23:10:24 | Exception: SQLSTATE[42S22]: Column not found: 1054 Unknown column '0' in 'field list' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-25 23:11:37 | Exception: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'thm32' for key 'name' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-26 15:24:04 | Exception: Duplicate route detected: GET /driveclone/login  | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 93
2025-09-26 19:03:01 | Exception: 405 Method Not Allowed: The requested URL /api/genres/1 exists but does not support POST method.Allowed: GET, PUT | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-09-26 19:07:31 | Exception: 405 Method Not Allowed: The requested URL /api/genres exists but does not support PUT method.Allowed: GET, POST | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-09-26 19:22:22 | Exception: 405 Method Not Allowed: The requested URL /api/genres/3 exists but does not support POST method.Allowed: GET, PUT | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-09-26 19:24:00 | Exception: 405 Method Not Allowed: The requested URL /api/genres/3 exists but does not support POST method.Allowed: GET, PUT | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-09-26 19:25:21 | Exception: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-26 19:25:49 | Exception: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 31
2025-09-26 19:28:33 | Exception: 405 Method Not Allowed: The requested URL /api/genres/3 exists but does not support POST method.Allowed: GET, PUT | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 668
2025-09-26 21:20:20 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/login.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-09-26 21:20:31 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/register.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-09-27 00:02:58 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 19
2025-09-27 00:03:08 | Exception: SQLSTATE[HY000] [1049] Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoMysqlAdapter.php | Line: 19
2025-09-27 10:30:48 | Exception: Unclosed '{' on line 5 | File: C:\laragon\www\DocTruyenHay\app\Router\api.php | Line: 61
2025-09-27 22:25:09 | Exception: Duplicate route detected: GET /admin/users  | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 105
2025-09-27 22:28:41 | Exception: 500 Internal Server Error: Method users() not found in class App\Controller\Admin\AdminController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 746
2025-09-27 22:30:02 | Exception: 500 Internal Server Error: Method users() not found in class App\Controller\Admin\AdminController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 746
2025-09-27 22:30:03 | Exception: 500 Internal Server Error: Method users() not found in class App\Controller\Admin\AdminController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 746
2025-09-27 22:30:04 | Exception: 500 Internal Server Error: Method users() not found in class App\Controller\Admin\AdminController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 746
2025-10-03 13:48:37 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 19
2025-10-03 13:49:07 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 19
2025-10-03 13:49:34 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:49:55 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:52:12 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:52:38 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:54:25 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:54:53 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:55:52 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:56:09 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:56:34 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:56:52 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:57:58 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 13:58:23 | Exception: SQLSTATE[HY000]: General error: 1 near "author1": syntax error | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-10-03 19:27:51 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 695
2025-10-03 19:59:21 | Exception: Duplicate route detected: GET /api/mail/sender/{param} (API) | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 335
2025-10-03 20:06:27 | Exception: SMTP Authentication failed: Wrong username or application password. | File: C:\laragon\www\DocTruyenHay\src\Application\Mail.php | Line: 116
2025-10-03 20:06:53 | Exception: SMTP Authentication failed: Wrong username or application password. | File: C:\laragon\www\DocTruyenHay\src\Application\Mail.php | Line: 116
2025-10-04 19:36:16 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 695
2025-10-07 08:11:45 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 20
2025-10-07 08:12:05 | Exception: PDO SQLite extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 20
2025-10-07 15:22:24 | Exception: Class "MongoDB\Driver\Manager" not found | File: C:\laragon\www\DocTruyenHay\vendor\mongodb\mongodb\src\Client.php | Line: 146
2025-10-07 15:22:57 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 72
2025-10-07 15:22:58 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 72
2025-10-07 15:30:47 | Exception: QueryBuilder design is not supported for MongoDB. | File: C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php | Line: 72
